CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Varicoloured Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites,,,,,,
0.048,0.016,0.345,0.846,75.277,1.874,7.711,29.615,44.727,25.658,27.391,700.773,176.120,81.641,12.111,8.484,0.290,935193.625,791.447,220.859,481.650,-0.000152,-0.002325,-0.005178,0.000045,169.703,362200,2393,1201,0.089,0.005,0.384,0.027,0.389,0.002,0.012,0.014,0.020,0.057,0.042,0.015,0.736,0.003,0.203,,,,,,
0.049,0.012,0.246,0.961,74.607,1.843,7.730,29.464,44.526,26.010,26.803,664.404,168.965,117.290,11.736,8.247,0.277,725875.125,697.502,185.860,479.137,-0.000129,-0.001999,-0.004433,0.000037,168.224,497625,2596,1209,0.065,0.004,0.313,0.027,0.469,0.008,0.009,0.010,0.015,0.082,0.031,0.026,0.789,0.002,0.152,,,,,,
0.024,0.005,0.222,0.342,87.534,2.198,7.096,27.343,43.968,28.689,24.354,969.709,260.250,107.493,13.311,7.688,0.314,3129389.750,502.831,108.967,860.096,-0.000185,-0.000955,-0.002436,0.000045,110.196,1628100,3051,2512,0.000,0.521,0.290,0.002,0.166,0.002,0.000,0.000,0.014,0.004,0.058,0.000,0.158,0.001,0.783,,,,,,
0.028,0.006,0.215,0.377,73.011,1.727,7.770,29.366,44.017,26.617,22.771,712.439,173.701,260.518,10.969,8.420,0.254,486746.250,353.958,173.887,539.531,-0.000113,-0.001187,-0.002660,0.000024,144.779,346350,2096,659,0.000,0.000,0.087,0.000,0.845,0.050,0.000,0.000,0.000,0.017,0.000,0.000,0.734,0.000,0.266,,,,,,
0.010,0.002,0.176,0.275,76.695,1.966,7.498,29.307,43.851,26.842,24.003,803.715,277.570,103.754,11.862,8.016,0.280,8595052.000,684.230,101.509,702.477,-0.000240,-0.001097,-0.002844,0.000039,122.602,4455625,5605,4343,0.000,0.203,0.227,0.022,0.372,0.064,0.000,0.022,0.032,0.057,0.022,0.078,0.479,0.000,0.421,,,,,,
0.021,0.003,0.155,0.334,77.019,1.971,7.506,29.345,43.842,26.812,24.216,788.871,304.505,284.370,12.064,7.959,0.283,14489108.000,708.202,98.124,690.771,-0.000233,-0.001059,-0.002759,0.000038,125.016,4737175,5671,4343,0.000,0.191,0.248,0.022,0.364,0.061,0.000,0.022,0.030,0.061,0.020,0.073,0.510,0.000,0.396,,,,,,
0.034,0.008,0.244,0.996,78.593,2.038,7.448,28.074,42.959,28.967,23.351,760.279,361.984,513.133,12.074,7.876,0.283,39099608.000,668.039,106.352,653.727,-0.000237,-0.001074,-0.002777,0.000034,148.568,13449925,8396,7707,0.004,0.130,0.368,0.013,0.300,0.065,0.003,0.010,0.054,0.052,0.237,0.028,0.536,0.045,0.154,,,,,,
0.043,0.010,0.239,1.070,78.363,2.030,7.454,28.098,42.981,28.921,23.370,754.312,359.972,667.082,12.049,7.889,0.283,54894800.000,664.411,107.492,646.598,-0.000230,-0.001087,-0.002786,0.000034,148.538,13867450,8356,7764,0.004,0.126,0.369,0.013,0.304,0.064,0.003,0.010,0.052,0.054,0.238,0.027,0.541,0.043,0.150,,,,,,
0.037,0.009,0.244,0.695,80.219,2.121,6.770,22.240,41.140,36.620,20.482,609.107,208.661,268.738,12.918,8.103,0.303,355861.563,877.088,184.531,425.885,-0.000022,-0.002156,-0.004471,0.000062,255.550,89050,2359,403,0.000,0.000,0.987,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.631,0.000,0.369,0.000,0.000,,,,,,
0.044,0.013,0.285,1.136,78.397,2.031,7.447,28.012,42.961,29.027,23.367,751.780,359.447,735.923,12.045,7.894,0.282,37467308.000,664.907,107.742,643.812,-0.000233,-0.001089,-0.002796,0.000034,150.246,14034900,8517,7898,0.004,0.125,0.375,0.013,0.301,0.063,0.003,0.010,0.052,0.053,0.243,0.027,0.539,0.043,0.148,,,,,,
0.032,0.008,0.236,0.722,78.008,2.019,7.455,28.095,42.971,28.934,23.177,736.045,353.973,198.154,12.030,7.871,0.282,58973064.000,733.844,106.809,628.938,-0.000230,-0.001067,-0.002741,0.000035,152.511,14924175,8797,8396,0.005,0.117,0.378,0.013,0.311,0.062,0.003,0.010,0.049,0.052,0.248,0.025,0.538,0.040,0.149,,,,,,
0.045,0.012,0.272,0.724,76.181,1.986,7.470,30.347,42.955,26.698,16.379,533.249,146.256,418.999,11.941,8.065,0.279,686509.063,1037.195,134.097,400.614,-0.000581,-0.001412,-0.004280,0.000064,252.318,284900,2805,817,0.000,0.000,0.633,0.000,0.288,0.056,0.000,0.000,0.016,0.008,0.409,0.000,0.207,0.000,0.384,,,,,,
0.046,0.007,0.162,0.331,83.719,2.448,7.074,24.093,39.383,36.524,24.603,1071.833,184.571,121.395,13.734,8.238,0.329,836776.250,635.213,154.979,917.101,-0.000371,-0.001949,-0.005156,0.000042,77.171,421550,2030,1355,0.000,0.425,0.063,0.000,0.076,0.071,0.073,0.018,0.230,0.045,0.036,0.000,0.688,0.277,0.000,,,,,,
0.011,0.002,0.202,0.175,104.395,2.856,6.567,16.576,36.071,47.352,22.178,1047.357,151.166,86.481,12.622,7.411,0.297,2262940.500,305.864,51.803,995.597,-0.000656,-0.001000,-0.003493,0.000039,155.006,618975,1678,1614,0.002,0.695,0.001,0.000,0.000,0.003,0.000,0.000,0.188,0.110,0.610,0.000,0.089,0.301,0.000,,,,,,
0.016,0.003,0.179,0.214,101.026,2.772,6.710,18.416,36.946,44.638,23.188,1029.064,170.940,59.347,12.194,7.492,0.285,519626.719,338.454,49.975,978.610,-0.000546,-0.001011,-0.003269,0.000035,143.099,734100,2195,1459,0.002,0.594,0.019,0.000,0.000,0.037,0.000,0.000,0.245,0.102,0.516,0.000,0.227,0.257,0.000,,,,,,
0.041,0.010,0.237,0.488,92.581,2.507,7.095,23.470,39.869,36.661,25.987,985.450,234.637,103.242,12.156,7.839,0.286,3282163.750,491.009,86.611,899.242,-0.000379,-0.001277,-0.003527,0.000036,118.260,1888550,3115,3038,0.009,0.350,0.264,0.003,0.072,0.053,0.016,0.004,0.176,0.052,0.244,0.000,0.591,0.165,0.000,,,,,,
0.014,0.003,0.183,0.295,92.098,2.456,7.069,24.276,39.895,35.829,16.281,946.646,255.763,151.059,10.951,9.177,0.259,228223.469,1192.007,145.119,799.091,0.000045,-0.002050,-0.004071,0.000036,135.117,255975,3292,1111,0.000,0.499,0.440,0.000,0.000,0.004,0.000,0.035,0.022,0.000,0.800,0.000,0.001,0.152,0.047,,,,,,
0.027,0.006,0.219,0.495,92.210,2.496,7.103,23.509,39.929,36.562,25.952,977.281,280.532,183.237,12.200,7.839,0.286,3376258.250,533.734,83.951,894.115,-0.000346,-0.001253,-0.003400,0.000036,117.732,1953025,3410,3115,0.009,0.339,0.275,0.006,0.077,0.053,0.016,0.004,0.170,0.050,0.246,0.000,0.594,0.160,0.000,,,,,,
