CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites
0.049,0.012,0.246,0.961,76.767,1.936,7.651,29.871,44.638,25.491,27.490,766.619,271.181,117.290,14.498,6.397,0.343,725875.125,170.810,283.610,483.089,-0.000009,-0.000035,-0.000102,0.000043,167.624,2687625,2811,1613,0.187,0.018,0.460,0.006,0.245,0.009,0.002,0.005,0.023,0.045,0.059,0.020,0.803,0.012,0.106
0.024,0.005,0.222,0.342,88.765,2.316,6.719,24.685,42.755,32.560,21.293,1053.681,344.222,107.493,16.262,6.517,0.392,3129389.750,288.044,191.171,862.415,-0.000063,0.000027,-0.000093,0.000055,128.459,5253900,3234,2710,0.000,0.701,0.177,0.001,0.076,0.001,0.020,0.003,0.014,0.007,0.176,0.000,0.128,0.069,0.626
0.028,0.006,0.215,0.377,73.568,1.763,7.757,29.319,44.280,26.401,24.149,762.398,223.660,260.518,12.111,6.853,0.281,486746.250,148.285,224.783,537.600,0.000004,-0.000045,-0.000085,0.000025,154.239,1284075,2332,818,0.000,0.000,0.227,0.000,0.677,0.064,0.000,0.000,0.012,0.019,0.000,0.000,0.859,0.000,0.141
0.010,0.002,0.176,0.275,79.177,2.041,7.410,28.614,43.614,27.772,23.835,874.260,348.116,103.754,14.483,6.654,0.346,8595052.000,295.754,175.003,699.218,-0.000057,0.000040,-0.000049,0.000046,140.769,20274425,6058,4585,0.003,0.264,0.331,0.009,0.265,0.041,0.008,0.018,0.015,0.046,0.057,0.153,0.481,0.026,0.284
0.021,0.003,0.155,0.334,79.242,2.043,7.415,28.655,43.609,27.737,23.939,867.216,382.850,284.370,14.526,6.653,0.347,14489108.000,356.312,172.356,694.853,-0.000052,0.000036,-0.000047,0.000046,141.536,20750600,6113,4585,0.003,0.258,0.339,0.009,0.263,0.040,0.008,0.018,0.015,0.048,0.055,0.149,0.493,0.026,0.277
0.034,0.008,0.244,0.996,81.885,2.144,7.286,27.571,42.638,29.791,21.490,854.225,455.930,513.133,14.460,6.657,0.345,39099608.000,489.169,183.684,670.552,-0.000067,0.000046,-0.000056,0.000041,158.983,53265250,9325,7820,0.015,0.249,0.409,0.007,0.182,0.043,0.007,0.010,0.040,0.038,0.217,0.061,0.482,0.095,0.146
0.043,0.010,0.239,1.070,81.576,2.134,7.297,27.622,42.681,29.697,21.550,848.392,454.052,667.082,14.415,6.657,0.343,54894800.000,481.847,184.558,663.846,-0.000066,0.000045,-0.000054,0.000040,158.375,54783400,8840,8394,0.016,0.242,0.410,0.007,0.188,0.043,0.007,0.010,0.039,0.039,0.219,0.060,0.486,0.093,0.143
0.037,0.009,0.244,0.695,80.272,2.146,6.692,22.595,40.939,36.466,20.443,669.876,269.430,268.738,15.238,6.401,0.361,355861.563,210.107,234.742,434.941,-0.000029,0.000030,-0.000004,0.000040,218.199,862950,2520,638,0.000,0.000,0.928,0.000,0.019,0.005,0.000,0.000,0.006,0.042,0.722,0.000,0.266,0.012,0.000
0.044,0.013,0.285,1.136,81.572,2.134,7.287,27.532,42.649,29.820,21.531,844.905,452.573,735.923,14.433,6.655,0.344,37467308.000,489.581,185.110,659.785,-0.000064,0.000044,-0.000054,0.000040,159.590,55757500,9325,8242,0.016,0.238,0.418,0.007,0.185,0.042,0.006,0.010,0.039,0.039,0.227,0.058,0.482,0.091,0.141
0.032,0.008,0.236,0.722,81.193,2.123,7.290,27.579,42.652,29.769,21.433,832.055,449.983,198.154,14.349,6.661,0.341,58973064.000,524.548,185.287,646.760,-0.000068,0.000047,-0.000056,0.000040,161.171,58857225,9325,9049,0.017,0.225,0.427,0.008,0.189,0.043,0.006,0.009,0.038,0.039,0.244,0.055,0.475,0.087,0.139
